CarID,Identification.Classification,Identification.ID,Identification.Make
785,Automatic transmission,2012 Kia Sedona EX,Kia
786,Manual transmission,2012 Ford Mustang Shelby GT500 Convertible,Ford
787,Manual transmission,2012 Ford Mustang Shelby GT500 Coupe,Ford
788,Manual transmission,2011 Ford Mustang Shelby GT500 Convertible,Ford
789,Manual transmission,2011 Ford Shelby GT500 Coupe,Ford
790,Manual transmission,2010 Ford Mustang Shelby GT500 Coupe,Ford
791,Manual transmission,2010 Ford Mustang Shelby GT500 Convertible,Ford
792,Automatic transmission,2011 Kia Sedona LX,Kia
793,Automatic transmission,2011 Kia Sedona EX,Kia
794,Automatic transmission,2010 Kia Sedona,Kia
795,Automatic transmission,2010 Kia Sedona LX,Kia
796,Automatic transmission,2010 Kia Sedona EX,Kia
797,Manual transmission,2011 Audi R8 Spyder 4.2,Audi
798,Manual transmission,2010 Volkswagen GTI 4-Door,Volkswagen
799,Manual transmission,2011 Audi R8 Spyder 5.2,Audi
800,Manual transmission,2012 Kia Sorento,Kia
801,Automatic transmission,2012 Kia Sorento LX,Kia
802,Automatic transmission,2012 Kia Sorento LX AWD,Kia
803,Automatic transmission,2012 Kia Sorento LX V6,Kia
804,Automatic transmission,2012 Kia Sorento LX V6 AWD,Kia
805,Automatic transmission,2012 Kia Sorento EX,Kia
806,Automatic transmission,2012 Kia Sorento EX AWD,Kia
807,Automatic transmission,2012 Kia Sorento EX V6,Kia
808,Automatic transmission,2012 Kia Sorento EX V6 AWD,Kia
809,Automatic transmission,2012 Kia Sorento SX,Kia
810,Automatic transmission,2012 Kia Sorento SX AWD,Kia
811,Manual transmission,2012 Audi S4 Sedan 3.0,Audi
812,Manual transmission,2010 Chevrolet Camaro Coupe 1LS,Chevrolet
813,Automatic transmission,2010 Chevrolet Camaro Coupe 1LS AT,Chevrolet
814,Manual transmission,2010 Chevrolet Camaro Coupe 1LT,Chevrolet
815,Automatic transmission,2010 Chevrolet Camaro Coupe 1LT AT,Chevrolet
816,Manual transmission,2010 Chevrolet Camaro Coupe 2LT,Chevrolet
817,Automatic transmission,2010 Chevrolet Camaro Coupe 2LT AT,Chevrolet
818,Manual transmission,2010 Chevrolet Camaro Coupe 1SS,Chevrolet
819,Automatic transmission,2010 Chevrolet Camaro Coupe 1SS AT,Chevrolet
820,Manual transmission,2010 Chevrolet Camaro Coupe 2SS,Chevrolet
821,Automatic transmission,2010 Chevrolet Camaro Coupe 2SS AT,Chevrolet
822,Manual transmission,2011 Audi S4 Sedan 3.0,Audi
823,Manual transmission,2011 Kia Sorento,Kia
824,Automatic transmission,2011 Kia Sorento LX,Kia
825,Automatic transmission,2011 Kia Sorento LX AWD,Kia
826,Automatic transmission,2011 Kia Sorento LX V6,Kia
827,Automatic transmission,2011 Kia Sorento LX V6 AWD,Kia
828,Automatic transmission,2011 Kia Sorento EX,Kia
829,Automatic transmission,2011 Kia Sorento EX AWD,Kia
830,Automatic transmission,2011 Kia Sorento EX V6,Kia
831,Automatic transmission,2011 Kia Sorento EX V6 AWD,Kia
832,Automatic transmission,2011 Kia Sorento SX,Kia
833,Automatic transmission,2011 Kia Sorento SX AWD,Kia
834,Manual transmission,2012 Kia Sportage,Kia
835,Automatic transmission,2012 Kia Sportage LX,Kia
836,Automatic transmission,2012 Kia Sportage LX AWD,Kia
837,Automatic transmission,2012 Kia Sportage EX,Kia
838,Automatic transmission,2012 Kia Sportage EX AWD,Kia
839,Automatic transmission,2012 Kia Sportage SX,Kia
840,Automatic transmission,2012 Kia Sportage SX AWD,Kia
841,Manual transmission,2010 Volkswagen Golf 2.0L 2-Door TDI,Volkswagen
842,Manual transmission,2010 Volkswagen Golf 2-Door,Volkswagen
843,Automatic transmission,2010 Volkswagen Golf 2-Door AT,Volkswagen
844,Manual transmission,2011 Kia Sportage,Kia
845,Automatic transmission,2011 Kia Sportage LX,Kia
846,Automatic transmission,2011 Kia Sportage LX AWD,Kia
847,Automatic transmission,2011 Kia Sportage EX,Kia
848,Automatic transmission,2011 Kia Sportage EX AWD,Kia
849,Automatic transmission,2011 Kia Sportage SX,Kia
850,Automatic transmission,2011 Kia Sportage SX AWD,Kia
851,Manual transmission,2010 Audi S4 Sedan 3.0,Audi
852,Manual transmission,2010 Kia Sportage LX,Kia
853,Automatic transmission,2010 Kia Sportage LX AT,Kia
854,Manual transmission,2010 Kia Sportage LX 4WD,Kia
855,Automatic transmission,2010 Kia Sportage LX V6,Kia
856,Automatic transmission,2010 Kia Sportage LX V6 4WD,Kia
857,Automatic transmission,2010 Kia Sportage EX,Kia
858,Automatic transmission,2010 Kia Sportage EX 4WD,Kia
859,Manual transmission,2010 Honda Civic DX Sedan,Honda
860,Automatic transmission,2010 Honda Civic DX Sedan AT,Honda
861,Manual transmission,2010 Honda Civic DX-VP Sedan,Honda
862,Automatic transmission,2010 Honda Civic DX-VP Sedan AT,Honda
863,Manual transmission,2010 Honda Civic LX Sedan,Honda
864,Automatic transmission,2010 Honda Civic LX Sedan AT,Honda
865,Manual transmission,2010 Honda Civic LX-S Sedan,Honda
866,Automatic transmission,2010 Honda Civic LX-S Sedan AT,Honda
867,Manual transmission,2010 Honda Civic EX Sedan,Honda
868,Automatic transmission,2010 Honda Civic EX Sedan AT,Honda
869,Manual transmission,2010 Honda Civic EX-L Sedan,Honda
870,Automatic transmission,2010 Honda Civic EX-L Sedan AT,Honda
871,Manual transmission,2010 Honda Civic Si Sedan,Honda
872,Automatic transmission,2010 Honda Civic GX Sedan,Honda
873,Automatic transmission,2011 Nissan Pathfinder SV,Nissan
874,Automatic transmission,2011 Nissan Pathfinder Silver Edition,Nissan
875,Automatic transmission,2011 Nissan Pathfinder Silver Edition 4x4,Nissan
876,Automatic transmission,2011 Nissan Pathfinder SV 4x4,Nissan
877,Automatic transmission,2011 Nissan Pathfinder S,Nissan
878,Automatic transmission,2011 Nissan Pathfinder S 4x4,Nissan
879,Automatic transmission,2011 Nissan Pathfinder LE,Nissan
880,Automatic transmission,2011 Nissan Pathfinder LE 4x4 V8,Nissan
881,Automatic transmission,2011 Nissan Pathfinder LE 4x4,Nissan
882,Automatic transmission,2011 Hyundai Santa Fe GLS AT,Hyundai
883,Automatic transmission,2011 Hyundai Santa Fe SE AWD,Hyundai
884,Automatic transmission,2011 Hyundai Santa Fe Limited 3.5 AWD,Hyundai
885,Automatic transmission,2011 Hyundai Santa Fe SE,Hyundai
886,Automatic transmission,2011 Hyundai Santa Fe GLS AT AWD,Hyundai
887,Automatic transmission,2011 Hyundai Santa Fe Limited 3.5,Hyundai
888,Automatic transmission,2011 Hyundai Santa Fe Limited,Hyundai
889,Manual transmission,2011 Hyundai Santa Fe GLS,Hyundai
890,Automatic transmission,2011 Hyundai Santa Fe GLS 3.5 AWD,Hyundai
891,Automatic transmission,2011 Hyundai Santa Fe GLS 3.5,Hyundai
892,Automatic transmission,2010 Hyundai Santa Fe SE,Hyundai
893,Automatic transmission,2010 Hyundai Santa Fe Limited 3.5 AWD,Hyundai
894,Automatic transmission,2010 Hyundai Santa Fe GLS AT AWD,Hyundai
895,Automatic transmission,2010 Hyundai Santa Fe Limited,Hyundai
896,Automatic transmission,2010 Hyundai Santa Fe Limited 3.5,Hyundai
897,Automatic transmission,2010 Hyundai Santa Fe SE AWD,Hyundai
898,Automatic transmission,2010 Hyundai Santa Fe GLS AT,Hyundai
899,Manual transmission,2010 Hyundai Santa Fe GLS,Hyundai
900,Automatic transmission,2012 Ford Taurus SE,Ford
901,Automatic transmission,2012 Ford Taurus SEL,Ford
902,Automatic transmission,2012 Ford Taurus SEL AWD,Ford
903,Automatic transmission,2012 Ford Taurus Limited,Ford
904,Automatic transmission,2012 Ford Taurus Limited AWD,Ford
905,Automatic transmission,2011 Ford Taurus SE,Ford
906,Automatic transmission,2011 Ford Taurus SEL,Ford
907,Automatic transmission,2011 Ford Taurus SEL AWD,Ford
908,Automatic transmission,2011 Ford Taurus Limited,Ford
909,Automatic transmission,2011 Ford Taurus Limited AWD,Ford
910,Automatic transmission,2010 Ford Taurus SE,Ford
911,Automatic transmission,2010 Ford Taurus SEL,Ford
912,Automatic transmission,2010 Ford Taurus SEL AWD,Ford
913,Automatic transmission,2010 Ford Taurus Limited,Ford
914,Automatic transmission,2010 Ford Taurus Limited AWD,Ford
915,Automatic transmission,2010 Volkswagen Golf 2.5L 4-Door,Volkswagen
916,Manual transmission,2010 Volkswagen Golf 4-Door TDI,Volkswagen
917,Manual transmission,2011 Volkswagen Golf 2.5L 2-Door,Volkswagen
918,Automatic transmission,2011 Volkswagen Golf 2.5L 2-Door AT,Volkswagen
919,Manual transmission,2011 Volkswagen Golf TDI Clean Diesel 2-Door,Volkswagen
920,Automatic transmission,2011 Ford Edge SE,Ford
921,Automatic transmission,2011 Ford Edge SEL,Ford
922,Automatic transmission,2011 Ford Edge SEL AWD,Ford
923,Automatic transmission,2011 Ford Edge Limited,Ford
924,Automatic transmission,2011 Ford Edge Limited AWD,Ford
925,Automatic transmission,2011 Ford Edge Sport,Ford
926,Automatic transmission,2011 Ford Edge Sport AWD,Ford
927,Automatic transmission,2011 Volkswagen Golf 2.5L 4-Door,Volkswagen
928,Manual transmission,2011 Volkswagen Golf TDI Clean Diesel 4-Door,Volkswagen
929,Automatic transmission,2012 Audi S5 Coupe 4.2 AT,Audi
930,Manual transmission,2012 Audi S5 Coupe 4.2,Audi
931,Automatic transmission,2012 Ford Edge SE,Ford
932,Automatic transmission,2012 Ford Edge SEL,Ford
933,Automatic transmission,2012 Ford Edge SEL AWD,Ford
934,Automatic transmission,2012 Ford Edge Limited,Ford
935,Automatic transmission,2012 Ford Edge Limited AWD,Ford
936,Automatic transmission,2012 Ford Edge Sport,Ford
937,Automatic transmission,2012 Ford Edge Sport AWD,Ford
938,Automatic transmission,2010 Ford Edge SE,Ford
939,Automatic transmission,2010 Ford Edge SE Fleet,Ford
940,Automatic transmission,2010 Ford Edge SEL,Ford
941,Automatic transmission,2010 Ford Edge SEL AWD,Ford
942,Automatic transmission,2010 Ford Edge Limited,Ford
943,Automatic transmission,2010 Ford Edge Limited AWD,Ford
944,Automatic transmission,2010 Ford Edge Sport,Ford
945,Automatic transmission,2010 Ford Edge Sport AWD,Ford
946,Automatic transmission,2011 Audi S5 Coupe 4.2 AT,Audi
947,Manual transmission,2011 Audi S5 Coupe 4.2,Audi
948,Automatic transmission,2012 Ford Edge SE Turbo,Ford
949,Automatic transmission,2012 Ford Edge Limited Turbo,Ford
950,Automatic transmission,2012 Ford Edge SEL Turbo,Ford
951,Automatic transmission,2010 Audi S5 Coupe 4.2 AT,Audi
952,Manual transmission,2010 Audi S5 Coupe 4.2,Audi
953,Automatic transmission,2011 Audi S6,Audi
954,Automatic transmission,2010 Audi S6,Audi
955,Manual transmission,2011 Honda Civic DX Sedan,Honda
956,Automatic transmission,2011 Honda Civic DX Sedan AT,Honda
957,Manual transmission,2011 Honda Civic DX-VP Sedan,Honda
958,Automatic transmission,2011 Honda Civic DX-VP Sedan AT,Honda
959,Manual transmission,2011 Honda Civic LX Sedan,Honda
960,Automatic transmission,2011 Honda Civic LX Sedan AT,Honda
961,Manual transmission,2011 Honda Civic LX-S Sedan,Honda
962,Automatic transmission,2011 Honda Civic LX-S Sedan AT,Honda
963,Manual transmission,2011 Honda Civic EX Sedan,Honda
964,Automatic transmission,2011 Honda Civic EX Sedan AT,Honda
965,Automatic transmission,2011 Honda Civic EX-L Sedan,Honda
966,Manual transmission,2011 Honda Civic Si Sedan,Honda
967,Automatic transmission,2011 Honda Civic GX Sedan,Honda
968,Manual transmission,2012 Chevrolet Corvette Z06 1LZ,Chevrolet
969,Manual transmission,2012 Chevrolet Corvette Z06 2LZ,Chevrolet
970,Manual transmission,2012 Chevrolet Corvette Z06 3LZ,Chevrolet
971,Manual transmission,2011 Chevrolet Corvette Z06 1LZ,Chevrolet
972,Manual transmission,2011 Chevrolet Corvette Z06 2LZ,Chevrolet
973,Manual transmission,2011 Chevrolet Corvette Z06 3LZ,Chevrolet
974,Manual transmission,2010 Chevrolet Corvette Z06 1LZ,Chevrolet
975,Manual transmission,2010 Chevrolet Corvette Z06 2LZ,Chevrolet
976,Manual transmission,2010 Chevrolet Corvette Z06 3LZ,Chevrolet
977,Manual transmission,2012 Chevrolet Corvette Convertible 1LT,Chevrolet
978,Automatic transmission,2012 Chevrolet Corvette Convertible 1LT AT,Chevrolet
979,Manual transmission,2012 Chevrolet Corvette Convertible 2LT,Chevrolet
980,Automatic transmission,2012 Chevrolet Corvette Convertible 2LT AT,Chevrolet
981,Manual transmission,2012 Chevrolet Corvette Convertible 3LT,Chevrolet
982,Automatic transmission,2012 Chevrolet Corvette Convertible 3LT AT,Chevrolet
983,Manual transmission,2012 Chevrolet Corvette Convertible 4LT,Chevrolet
984,Automatic transmission,2012 Chevrolet Corvette Convertible 4LT AT,Chevrolet
985,Automatic transmission,2010 Nissan Pathfinder S 4x4,Nissan
986,Automatic transmission,2010 Nissan Pathfinder S FE+,Nissan
987,Automatic transmission,2010 Nissan Pathfinder SE,Nissan
988,Automatic transmission,2010 Nissan Pathfinder LE 4x4,Nissan
989,Automatic transmission,2010 Nissan Pathfinder LE 4x4 V8,Nissan
990,Automatic transmission,2010 Nissan Pathfinder SE 4x4,Nissan
991,Automatic transmission,2010 Nissan Pathfinder LE,Nissan
992,Automatic transmission,2010 Volkswagen Routan S,Volkswagen
993,Automatic transmission,2010 Volkswagen Routan SE,Volkswagen
994,Automatic transmission,2010 Volkswagen Routan SEL,Volkswagen
995,Automatic transmission,2010 Volkswagen Routan SEL Premium,Volkswagen
996,Automatic transmission,2009 Nissan Pathfinder LE,Nissan
997,Automatic transmission,2009 Nissan Pathfinder SE Off-Road,Nissan
998,Automatic transmission,2009 Nissan Pathfinder SE 4x4,Nissan
999,Automatic transmission,2009 Nissan Pathfinder LE 4x4 V8,Nissan
1000,Automatic transmission,2009 Nissan Pathfinder S,Nissan
1001,Automatic transmission,2009 Nissan Pathfinder S 4x4,Nissan
1002,Automatic transmission,2009 Nissan Pathfinder LE 4x4,Nissan
1003,Automatic transmission,2009 Nissan Pathfinder SE,Nissan
1004,Automatic transmission,2011 Volkswagen Routan S,Volkswagen
1005,Automatic transmission,2011 Volkswagen Routan SE,Volkswagen
1006,Automatic transmission,2011 Volkswagen Routan SEL,Volkswagen
1007,Automatic transmission,2011 Volkswagen Routan SEL Premium,Volkswagen
1008,Manual transmission,2010 Volkswagen Tiguan S,Volkswagen
1009,Automatic transmission,2010 Volkswagen Tiguan S AT,Volkswagen
1010,Automatic transmission,2010 Volkswagen Tiguan SE,Volkswagen
1011,Automatic transmission,2010 Volkswagen Tiguan SEL,Volkswagen
1012,Manual transmission,2012 Hyundai Sonata GLS,Hyundai
1013,Automatic transmission,2012 Hyundai Sonata Limited PZEV,Hyundai
1014,Automatic transmission,2012 Hyundai Sonata SE,Hyundai
1015,Automatic transmission,2012 Hyundai Sonata GLS PZEV,Hyundai
1016,Automatic transmission,2012 Hyundai Sonata GLS AT,Hyundai
1017,Automatic transmission,2012 Hyundai Sonata SE Turbo,Hyundai
1018,Automatic transmission,2012 Hyundai Sonata Limited,Hyundai
1019,Automatic transmission,2012 Hyundai Sonata Limited Turbo,Hyundai
1020,Automatic transmission,2011 Hyundai Sonata Limited,Hyundai
1021,Automatic transmission,2011 Hyundai Sonata Limited Turbo,Hyundai
1022,Automatic transmission,2011 Hyundai Sonata GLS AT,Hyundai
1023,Manual transmission,2011 Hyundai Sonata GLS,Hyundai
1024,Automatic transmission,2011 Hyundai Sonata SE Turbo,Hyundai
1025,Automatic transmission,2011 Hyundai Sonata Limited PZEV,Hyundai
1026,Automatic transmission,2011 Hyundai Sonata GLS PZEV,Hyundai
1027,Automatic transmission,2011 Hyundai Sonata SE,Hyundai
1028,Automatic transmission,2010 Hyundai Sonata GLS AT,Hyundai
1029,Manual transmission,2010 Hyundai Sonata GLS,Hyundai
1030,Automatic transmission,2010 Hyundai Sonata GLS PZEV,Hyundai
1031,Automatic transmission,2010 Hyundai Sonata SE PZEV,Hyundai
1032,Automatic transmission,2010 Hyundai Sonata SE,Hyundai
1033,Automatic transmission,2010 Hyundai Sonata Limited,Hyundai
1034,Automatic transmission,2010 Hyundai Sonata Limited PZEV,Hyundai
1035,Automatic transmission,2010 Hyundai Sonata Limited V6,Hyundai
1036,Automatic transmission,2010 Hyundai Sonata SE V6,Hyundai
1037,Manual transmission,2011 Honda CR-Z EX,Honda
1038,Manual transmission,2011 Honda CR-Z,Honda
1039,Automatic transmission,2011 Hyundai Veracruz GLS,Hyundai
1040,Automatic transmission,2011 Hyundai Veracruz Limited,Hyundai
1041,Automatic transmission,2011 Hyundai Veracruz GLS AWD,Hyundai
1042,Automatic transmission,2011 Hyundai Veracruz Limited AWD,Hyundai
1043,Automatic transmission,2010 Hyundai Veracruz GLS AWD,Hyundai
1044,Automatic transmission,2010 Hyundai Veracruz GLS,Hyundai
1045,Automatic transmission,2010 Hyundai Veracruz Limited AWD,Hyundai
1046,Automatic transmission,2010 Hyundai Veracruz Limited,Hyundai
1047,Manual transmission,2011 Honda Fit,Honda
1048,Automatic transmission,2011 Honda Fit AT,Honda
1049,Manual transmission,2011 Honda Fit Sport,Honda
1050,Automatic transmission,2011 Honda Fit Sport AT,Honda
1051,Automatic transmission,2011 Hyundai Sonata Hybrid,Hyundai
1052,Automatic transmission,2012 Hyundai Tucson GL AT,Hyundai
1053,Automatic transmission,2012 Hyundai Tucson GLS,Hyundai
1054,Automatic transmission,2012 Hyundai Tucson Limited AWD,Hyundai
1055,Automatic transmission,2012 Hyundai Tucson Limited,Hyundai
1056,Automatic transmission,2012 Hyundai Tucson Limited PZEV AWD,Hyundai
1057,Automatic transmission,2012 Hyundai Tucson Limited PZEV,Hyundai
1058,Manual transmission,2012 Hyundai Tucson GL,Hyundai
1059,Automatic transmission,2012 Hyundai Tucson GLS AWD,Hyundai
1060,Automatic transmission,2012 Hyundai Tucson GLS PZEV,Hyundai
1061,Automatic transmission,2012 Hyundai Tucson GLS PZEV AWD,Hyundai
1062,Automatic transmission,2011 Mazda CX-7 i SV,Mazda
1063,Automatic transmission,2011 Mazda CX-7 i Sport,Mazda
1064,Automatic transmission,2011 Mazda CX-7 s Touring,Mazda
1065,Automatic transmission,2011 Mazda CX-7 s Touring AWD,Mazda
1066,Automatic transmission,2011 Mazda CX-7 i Touring,Mazda
1067,Automatic transmission,2011 Mazda CX-7 s Grand Touring,Mazda
1068,Automatic transmission,2011 Mazda CX-7 s Grand Touring AWD,Mazda
1069,Automatic transmission,2012 Ford Flex SE,Ford
1070,Automatic transmission,2012 Ford Flex SEL,Ford
1071,Automatic transmission,2012 Ford Flex SEL AWD,Ford
1072,Automatic transmission,2012 Ford Flex Limited,Ford
1073,Automatic transmission,2012 Ford Flex Limited AWD,Ford
1074,Automatic transmission,2012 Ford Flex Limited AWD Turbo,Ford
1075,Automatic transmission,2012 Ford Flex Titanium,Ford
1076,Automatic transmission,2012 Ford Flex Titanium AWD,Ford
1077,Automatic transmission,2012 Ford Flex Titanium AWD Turbo,Ford
1078,Manual transmission,2010 Honda Fit,Honda
1079,Automatic transmission,2010 Honda Fit AT,Honda
1080,Manual transmission,2010 Honda Fit Sport,Honda
1081,Automatic transmission,2010 Honda Fit Sport AT,Honda
1082,Automatic transmission,2011 Ford Flex SE,Ford
1083,Automatic transmission,2011 Ford Flex SEL,Ford
1084,Automatic transmission,2011 Ford Flex SEL AWD,Ford
1085,Automatic transmission,2011 Ford Flex SEL AWD Turbo,Ford
1086,Automatic transmission,2011 Ford Flex Limited,Ford
1087,Automatic transmission,2011 Ford Flex Limited AWD,Ford
1088,Automatic transmission,2011 Ford Flex Limited AWD Turbo,Ford
1089,Automatic transmission,2011 Ford Flex Titanium,Ford
1090,Automatic transmission,2011 Ford Flex Titanium AWD,Ford
1091,Automatic transmission,2011 Ford Flex Titanium AWD Turbo,Ford
1092,Automatic transmission,2010 Mazda CX-7 i SV,Mazda
1093,Automatic transmission,2010 Mazda CX-7 i Sport,Mazda
1094,Automatic transmission,2010 Mazda CX-7 s Touring,Mazda
1095,Automatic transmission,2010 Mazda CX-7 s Touring AWD,Mazda
1096,Automatic transmission,2010 Mazda CX-7 s Grand Touring,Mazda
1097,Automatic transmission,2010 Mazda CX-7 s Grand Touring AWD,Mazda
1098,Automatic transmission,2011 Hyundai Tucson GL AT,Hyundai
1099,Automatic transmission,2011 Hyundai Tucson GLS,Hyundai
1100,Automatic transmission,2011 Hyundai Tucson Limited PZEV,Hyundai
1101,Automatic transmission,2011 Hyundai Tucson Limited AWD,Hyundai
1102,Automatic transmission,2011 Hyundai Tucson Limited PZEV AWD,Hyundai
1103,Automatic transmission,2011 Hyundai Tucson GLS AWD,Hyundai
1104,Automatic transmission,2011 Hyundai Tucson GLS PZEV,Hyundai
1105,Manual transmission,2011 Hyundai Tucson GL,Hyundai
1106,Automatic transmission,2011 Hyundai Tucson GLS PZEV AWD,Hyundai
1107,Automatic transmission,2011 Hyundai Tucson Limited,Hyundai
1108,Manual transmission,2012 Audi R8 Spyder 4.2,Audi
1109,Manual transmission,2012 Audi R8 Spyder 5.2,Audi
1110,Automatic transmission,2010 Ford Flex SE,Ford
1111,Automatic transmission,2010 Ford Flex SEL,Ford
1112,Automatic transmission,2010 Ford Flex SEL AWD,Ford
1113,Automatic transmission,2010 Ford Flex SEL AWD Turbo,Ford
1114,Automatic transmission,2010 Ford Flex Limited,Ford
1115,Automatic transmission,2010 Ford Flex Limited AWD,Ford
1116,Automatic transmission,2010 Ford Flex Limited AWD Turbo,Ford
1117,Automatic transmission,2011 Mazda CX-9 Sport,Mazda
1118,Automatic transmission,2011 Mazda CX-9 Sport AWD,Mazda
1119,Automatic transmission,2011 Mazda CX-9 Touring,Mazda
1120,Automatic transmission,2011 Mazda CX-9 Touring AWD,Mazda
1121,Automatic transmission,2011 Mazda CX-9 Grand Touring,Mazda
1122,Automatic transmission,2011 Mazda CX-9 Grand Touring AWD,Mazda
1123,Manual transmission,2011 Volkswagen Tiguan S,Volkswagen
1124,Automatic transmission,2011 Volkswagen Tiguan S AT,Volkswagen
1125,Automatic transmission,2011 Volkswagen Tiguan SE,Volkswagen
1126,Automatic transmission,2011 Volkswagen Tiguan SEL,Volkswagen
1127,Automatic transmission,2010 Volkswagen Touareg VR6 FSI Sport,Volkswagen
1128,Automatic transmission,2010 Volkswagen Touareg V6 TDI Clean Diesel Sport,Volkswagen
1129,Automatic transmission,2010 Mercedes-Benz CL550 4Matic,Mercedes
1130,Automatic transmission,2010 Mercedes-Benz CL600,Mercedes-Benz
1131,Automatic transmission,2010 Mercedes-Benz CL63 AMG,AMG
1132,Automatic transmission,2010 Mercedes-Benz CL65 AMG,AMG
1133,Manual transmission,2011 BMW 128i Convertible,BMW Motorrad
1134,Automatic transmission,2011 BMW 128i Convertible AT,BMW Motorrad
1135,Manual transmission,2011 BMW 135i Convertible,BMW
1136,Automatic transmission,2011 Mercedes-Benz CL600,Mercedes-Benz
1137,Automatic transmission,2011 Mercedes-Benz CL63 AMG,AMG
1138,Automatic transmission,2011 Mercedes-Benz CL550 4Matic,Mercedes-Benz
1139,Automatic transmission,2011 Mercedes-Benz CL65 AMG,AMG
1140,Automatic transmission,2010 BMW 135i Coupe AT,BMW Motorrad
1141,Manual transmission,2010 BMW 135i Coupe,BMW Motorrad
1142,Manual transmission,2010 BMW 128i Coupe,BMW Motorrad
1143,Automatic transmission,2010 BMW 128i Coupe AT,BMW Motorrad
1144,Automatic transmission,2010 Hyundai Tucson Limited,Hyundai
1145,Manual transmission,2010 Hyundai Tucson GLS,Hyundai
1146,Automatic transmission,2010 Hyundai Tucson Limited PZEV 4WD,Hyundai
1147,Automatic transmission,2010 Hyundai Tucson Limited 4WD,Hyundai
1148,Automatic transmission,2010 Hyundai Tucson GLS AT 4WD,Hyundai
1149,Automatic transmission,2010 Hyundai Tucson GLS PZEV 4WD,Hyundai
1150,Automatic transmission,2010 Hyundai Tucson Limited PZEV,Hyundai
1151,Automatic transmission,2010 Hyundai Tucson GLS AT,Hyundai
1152,Automatic transmission,2010 Hyundai Tucson GLS PZEV,Hyundai
1153,Manual transmission,2011 BMW 135i Coupe,BMW Motorrad
1154,Automatic transmission,2011 BMW 128i Coupe AT,BMW Motorrad
1155,Manual transmission,2011 BMW 128i Coupe,BMW Motorrad
1156,Automatic transmission,2010 Mercedes-Benz CLS550,Mercedes
1157,Automatic transmission,2010 Mercedes-Benz CLS63 AMG,AMG
1158,Manual transmission,2011 Chevrolet Corvette Convertible 1LT,Chevrolet
1159,Automatic transmission,2011 Chevrolet Corvette Convertible 1LT AT,Chevrolet
1160,Manual transmission,2011 Chevrolet Corvette Convertible 2LT,Chevrolet
1161,Automatic transmission,2011 Chevrolet Corvette Convertible 2LT AT,Chevrolet
1162,Manual transmission,2011 Chevrolet Corvette Convertible 3LT,Chevrolet
1163,Automatic transmission,2011 Chevrolet Corvette Convertible 3LT AT,Chevrolet
1164,Manual transmission,2011 Chevrolet Corvette Convertible 4LT,Chevrolet
1165,Automatic transmission,2011 Chevrolet Corvette Convertible 4LT AT,Chevrolet
1166,Automatic transmission,2011 Mercedes-Benz CLS63 AMG,Mercedes-AMG
1167,Manual transmission,2010 Chevrolet Corvette Convertible 1LT,Chevrolet
1168,Automatic transmission,2010 Chevrolet Corvette Convertible 1LT AT,Chevrolet
1169,Manual transmission,2010 Chevrolet Corvette Convertible 2LT,Chevrolet
1170,Automatic transmission,2010 Chevrolet Corvette Convertible 2LT AT,Chevrolet
1171,Manual transmission,2010 Chevrolet Corvette Convertible 3LT,Chevrolet
1172,Automatic transmission,2010 Chevrolet Corvette Convertible 3LT AT,Chevrolet
1173,Manual transmission,2010 Chevrolet Corvette Convertible 4LT,Chevrolet
1174,Automatic transmission,2010 Chevrolet Corvette Convertible 4LT AT,Chevrolet
1175,Automatic transmission,2012 Mitsubishi Eclipse GT,Mitsubishi
1176,Automatic transmission,2012 Mitsubishi Eclipse SE,Mitsubishi
1177,Automatic transmission,2012 Mitsubishi Eclipse GS AT,Mitsubishi
1178,Manual transmission,2012 Mitsubishi Eclipse GS,Mitsubishi
1179,Automatic transmission,2012 Mitsubishi Eclipse GS-Sport,Mitsubishi
1180,Automatic transmission,2011 Mitsubishi Eclipse GS AT,Mitsubishi
1181,Manual transmission,2011 Mitsubishi Eclipse GS,Mitsubishi
1182,Automatic transmission,2011 Mitsubishi Eclipse GS-Sport,Mitsubishi
1183,Automatic transmission,2011 Mitsubishi Eclipse GT,Mitsubishi
1184,Automatic transmission,2010 Mitsubishi Eclipse GT AT,Mitsubishi
1185,Manual transmission,2010 Mitsubishi Eclipse GS,Mitsubishi
1186,Automatic transmission,2010 Mitsubishi Eclipse GS-Sport,Mitsubishi
1187,Automatic transmission,2010 Mitsubishi Eclipse GS AT,Mitsubishi
1188,Manual transmission,2010 Mitsubishi Eclipse GT,Mitsubishi
1189,Manual transmission,2012 Chevrolet Corvette Coupe 1LT,Chevrolet
1190,Automatic transmission,2012 Chevrolet Corvette Coupe 1LT AT,Chevrolet
1191,Manual transmission,2012 Chevrolet Corvette Coupe 2LT,Chevrolet
1192,Automatic transmission,2012 Chevrolet Corvette Coupe 2LT AT,Chevrolet
1193,Manual transmission,2012 Chevrolet Corvette Coupe 3LT,Chevrolet
1194,Automatic transmission,2012 Chevrolet Corvette Coupe 3LT AT,Chevrolet
1195,Manual transmission,2012 Chevrolet Corvette Coupe 4LT,Chevrolet
1196,Automatic transmission,2012 Chevrolet Corvette Coupe 4LT AT,Chevrolet
1197,Automatic transmission,2010 Toyota RAV4,Toyota
1198,Automatic transmission,2010 Toyota RAV4 4WD,Toyota
1199,Automatic transmission,2010 Toyota RAV4 V6,Toyota
